AdjID,Date,Description,TaxTreatment,AccountingAmount_AED,AdjustmentDirection
CT-9682,2025-08-25,Depreciation - Accounting,Add Back,9447.95,Add
CT-9683,2025-08-15,Depreciation - Accounting,Add Back,17013.6,Add
CT-9684,2025-08-05,Entertainment Expense,Disallowed 50%,44045.87,Add
CT-9685,2025-08-01,Client Entertainment,Disallowed 50%,53788.27,Add
CT-9686,2025-08-02,UAE Government Grant Income,Exempt Income,19425.37,Add
CT-9687,2025-08-11,Client Entertainment,Disallowed 50%,55957.85,Add
CT-9688,2025-08-20,UAE Government Grant Income,Exempt Income,48054.72,Add
CT-9689,2025-08-22,Fines & Penalties,Fully Disallowed,38194.66,Add
CT-9690,2025-08-21,Donations - Non Qualifying,Fully Disallowed,58863.46,Add
CT-9691,2025-08-03,Interest Income - Related Party,Related Party Adj.,51032.53,Deduct
CT-9692,2025-08-28,Bad Debts Written Off (realized),Deduct,44189.26,Deduct
CT-9693,2025-08-17,Exempt Dividend Income,Exempt Income,26378.45,Add
CT-9694,2025-08-20,Client Entertainment,Disallowed 50%,31691.89,Add
CT-9695,2025-08-12,Bad Debts Written Off (realized),Deduct,26435.89,Deduct
CT-9696,2025-08-24,Interest Income - Related Party,Related Party Adj.,7777.18,Deduct
CT-9697,2025-08-25,Donations - Non Qualifying,Fully Disallowed,65863.51,Add
CT-9698,2025-08-25,Interest Income - Related Party,Related Party Adj.,17392.15,Deduct
CT-9699,2025-08-02,UAE Government Grant Income,Exempt Income,6101.09,Add
CT-9700,2025-08-12,Related Party Management Fee,Transfer Pricing Adj.,24586.23,Add
CT-9701,2025-08-13,Interest Income - Related Party,Related Party Adj.,7083.49,Deduct
CT-9702,2025-08-07,Interest Income - Related Party,Related Party Adj.,52643.69,Deduct
CT-9703,2025-08-03,Donations - Non Qualifying,Fully Disallowed,49212.05,Add
CT-9704,2025-08-13,Bad Debts Written Off (realized),Deduct,40659.06,Deduct
CT-9705,2025-08-01,Depreciation - Accounting,Add Back,44298.28,Add
CT-9706,2025-08-27,Exempt Dividend Income,Exempt Income,41543.52,Add
CT-9707,2025-08-02,Depreciation - Accounting,Add Back,49558.4,Add
CT-9708,2025-08-23,Provision for Doubtful Debts (unrealized),Add Back,24800.64,Add
CT-9709,2025-08-28,Related Party Management Fee,Transfer Pricing Adj.,21185.02,Add
CT-9710,2025-08-24,Depreciation - Tax (per schedule),Deduct,56564.31,Deduct
CT-9711,2025-08-27,Depreciation - Tax (per schedule),Deduct,39467.1,Deduct
CT-9712,2025-08-22,Depreciation - Tax (per schedule),Deduct,32561.12,Deduct
CT-9713,2025-08-13,Bad Debts Written Off (realized),Deduct,58190.71,Deduct
CT-9714,2025-08-09,Depreciation - Tax (per schedule),Deduct,1945.98,Deduct
CT-9715,2025-08-01,Provision for Doubtful Debts (unrealized),Add Back,13465.12,Add
CT-9716,2025-08-21,Bad Debts Written Off (realized),Deduct,37275.98,Deduct
CT-9717,2025-08-21,Depreciation - Tax (per schedule),Deduct,29787.68,Deduct
CT-9718,2025-08-04,UAE Government Grant Income,Exempt Income,13622.14,Add
CT-9719,2025-08-06,Interest Income - Related Party,Related Party Adj.,45498.93,Deduct
CT-9720,2025-08-05,Provision for Doubtful Debts (unrealized),Add Back,3233.61,Add
CT-9721,2025-08-26,Related Party Management Fee,Transfer Pricing Adj.,45233.59,Add
CT-9722,2025-08-03,UAE Government Grant Income,Exempt Income,55968.98,Add
CT-9723,2025-08-17,Client Entertainment,Disallowed 50%,38814.01,Add
CT-9724,2025-08-01,Entertainment Expense,Disallowed 50%,50677.01,Add
CT-9725,2025-08-26,Interest Income - Related Party,Related Party Adj.,60429.05,Deduct
CT-9726,2025-08-01,Donations - Non Qualifying,Fully Disallowed,30494.35,Add
CT-9727,2025-08-19,Interest Income - Related Party,Related Party Adj.,44681.98,Deduct
CT-9728,2025-08-01,Depreciation - Accounting,Add Back,57647.08,Add
CT-9729,2025-08-15,Exempt Dividend Income,Exempt Income,5971.67,Add
CT-9730,2025-08-07,Entertainment Expense,Disallowed 50%,4757.78,Add
CT-9731,2025-08-13,Fines & Penalties,Fully Disallowed,34723.01,Add
CT-9732,2025-08-01,Related Party Management Fee,Transfer Pricing Adj.,12677.88,Add
CT-9733,2025-08-26,Depreciation - Tax (per schedule),Deduct,63282.94,Deduct
CT-9734,2025-08-17,Related Party Management Fee,Transfer Pricing Adj.,45854.07,Add
CT-9735,2025-08-16,Bad Debts Written Off (realized),Deduct,32418.45,Deduct
CT-9736,2025-08-03,Bad Debts Written Off (realized),Deduct,53695.5,Deduct
CT-9737,2025-08-15,Depreciation - Accounting,Add Back,46123.13,Add
CT-9738,2025-08-17,Fines & Penalties,Fully Disallowed,47894.43,Add
CT-9739,2025-09-11,Client Entertainment,Disallowed 50%,8494.55,Add
CT-9740,2025-09-25,Provision for Doubtful Debts (unrealized),Add Back,44557.39,Add
CT-9741,2025-09-13,UAE Government Grant Income,Exempt Income,41393.22,Add
CT-9742,2025-09-16,Depreciation - Accounting,Add Back,30361.94,Add
CT-9743,2025-09-11,Bad Debts Written Off (realized),Deduct,14951.64,Deduct
CT-9744,2025-09-23,Interest Income - Related Party,Related Party Adj.,25574.13,Deduct
CT-9745,2025-09-19,Interest Income - Related Party,Related Party Adj.,47108.8,Deduct
CT-9746,2025-09-12,Fines & Penalties,Fully Disallowed,11428.21,Add
CT-9747,2025-09-12,Client Entertainment,Disallowed 50%,66067.14,Add
CT-9748,2025-09-24,Provision for Doubtful Debts (unrealized),Add Back,17470.52,Add
CT-9749,2025-09-22,Interest Income - Related Party,Related Party Adj.,63594.43,Deduct
CT-9750,2025-09-24,Bad Debts Written Off (realized),Deduct,54505.86,Deduct
CT-9751,2025-09-20,Exempt Dividend Income,Exempt Income,53531.98,Add
CT-9752,2025-09-02,Fines & Penalties,Fully Disallowed,24888.44,Add
CT-9753,2025-09-14,Bad Debts Written Off (realized),Deduct,25235.48,Deduct
CT-9754,2025-09-26,Bad Debts Written Off (realized),Deduct,51176.0,Deduct
CT-9755,2025-09-21,UAE Government Grant Income,Exempt Income,36408.59,Add
CT-9756,2025-09-18,Bad Debts Written Off (realized),Deduct,14077.59,Deduct
CT-9757,2025-09-24,Client Entertainment,Disallowed 50%,38141.28,Add
CT-9758,2025-09-16,Client Entertainment,Disallowed 50%,34089.28,Add
CT-9759,2025-09-10,Depreciation - Accounting,Add Back,35387.87,Add
CT-9760,2025-09-08,Bad Debts Written Off (realized),Deduct,31499.93,Deduct
CT-9761,2025-09-20,Depreciation - Tax (per schedule),Deduct,58910.54,Deduct
CT-9762,2025-09-11,Interest Income - Related Party,Related Party Adj.,45833.41,Deduct
CT-9763,2025-09-07,Related Party Management Fee,Transfer Pricing Adj.,38079.4,Add
CT-9764,2025-09-13,Exempt Dividend Income,Exempt Income,17140.57,Add
CT-9765,2025-09-16,Interest Income - Related Party,Related Party Adj.,39982.81,Deduct
CT-9766,2025-09-05,Client Entertainment,Disallowed 50%,13300.01,Add
CT-9767,2025-09-20,Entertainment Expense,Disallowed 50%,57516.5,Add
CT-9768,2025-09-13,Donations - Non Qualifying,Fully Disallowed,5595.2,Add
CT-9769,2025-09-19,Depreciation - Accounting,Add Back,29814.75,Add
CT-9770,2025-09-26,Client Entertainment,Disallowed 50%,11388.81,Add
CT-9771,2025-09-03,Bad Debts Written Off (realized),Deduct,8943.74,Deduct
CT-9772,2025-09-19,Interest Income - Related Party,Related Party Adj.,29445.21,Deduct
CT-9773,2025-09-12,Interest Income - Related Party,Related Party Adj.,14078.41,Deduct
CT-9774,2025-09-07,Donations - Non Qualifying,Fully Disallowed,46603.21,Add
CT-9775,2025-09-25,Related Party Management Fee,Transfer Pricing Adj.,6574.07,Add
CT-9776,2025-09-07,Exempt Dividend Income,Exempt Income,33312.95,Add
CT-9777,2025-09-13,Entertainment Expense,Disallowed 50%,22842.29,Add
CT-9778,2025-09-26,Exempt Dividend Income,Exempt Income,10318.21,Add
CT-9779,2025-09-16,UAE Government Grant Income,Exempt Income,49625.91,Add
CT-9780,2025-09-11,Depreciation - Tax (per schedule),Deduct,16937.5,Deduct
CT-9781,2025-09-23,Depreciation - Tax (per schedule),Deduct,13332.75,Deduct
CT-9782,2025-09-20,Fines & Penalties,Fully Disallowed,5042.01,Add
CT-9783,2025-09-18,Related Party Management Fee,Transfer Pricing Adj.,19904.93,Add
CT-9784,2025-09-17,Bad Debts Written Off (realized),Deduct,18363.14,Deduct
CT-9785,2025-09-18,Client Entertainment,Disallowed 50%,9063.47,Add
CT-9786,2025-09-28,Fines & Penalties,Fully Disallowed,28314.86,Add
CT-9787,2025-09-10,Related Party Management Fee,Transfer Pricing Adj.,40684.05,Add
CT-9788,2025-09-15,UAE Government Grant Income,Exempt Income,25997.92,Add
CT-9789,2025-09-06,Donations - Non Qualifying,Fully Disallowed,39443.93,Add
CT-9790,2025-09-08,Fines & Penalties,Fully Disallowed,10640.09,Add
CT-9791,2025-09-15,Client Entertainment,Disallowed 50%,30793.0,Add
CT-9792,2025-09-01,Exempt Dividend Income,Exempt Income,30194.85,Add
CT-9793,2025-09-09,Donations - Non Qualifying,Fully Disallowed,39249.26,Add
CT-9794,2025-09-28,Related Party Management Fee,Transfer Pricing Adj.,49461.2,Add
CT-9795,2025-09-25,Bad Debts Written Off (realized),Deduct,26339.19,Deduct
CT-9796,2025-09-11,Related Party Management Fee,Transfer Pricing Adj.,44616.78,Add
CT-9797,2025-09-23,Depreciation - Tax (per schedule),Deduct,65701.5,Deduct
CT-9798,2025-09-16,Related Party Management Fee,Transfer Pricing Adj.,34414.09,Add
CT-9799,2025-09-10,Interest Income - Related Party,Related Party Adj.,6745.36,Deduct
CT-9800,2025-09-05,Donations - Non Qualifying,Fully Disallowed,6431.91,Add
CT-9801,2025-09-10,Related Party Management Fee,Transfer Pricing Adj.,21534.33,Add
CT-9802,2025-09-12,Related Party Management Fee,Transfer Pricing Adj.,22731.11,Add
CT-9803,2025-09-23,Donations - Non Qualifying,Fully Disallowed,34943.14,Add
CT-9804,2025-09-11,Client Entertainment,Disallowed 50%,6069.19,Add
CT-9805,2025-09-28,Bad Debts Written Off (realized),Deduct,24889.27,Deduct
CT-9806,2025-09-15,Interest Income - Related Party,Related Party Adj.,10858.05,Deduct
CT-9807,2025-09-09,Fines & Penalties,Fully Disallowed,4835.89,Add
CT-9808,2025-09-26,Exempt Dividend Income,Exempt Income,3803.52,Add
CT-9809,2025-09-23,Donations - Non Qualifying,Fully Disallowed,26805.58,Add
CT-9810,2025-09-12,Depreciation - Tax (per schedule),Deduct,31472.04,Deduct
CT-9811,2025-09-20,Provision for Doubtful Debts (unrealized),Add Back,13899.14,Add
CT-9812,2025-09-19,Depreciation - Accounting,Add Back,14605.76,Add
CT-9813,2025-09-13,Client Entertainment,Disallowed 50%,28561.29,Add
CT-9814,2025-09-26,Bad Debts Written Off (realized),Deduct,66435.96,Deduct
CT-9815,2025-09-11,Exempt Dividend Income,Exempt Income,37217.62,Add
CT-9816,2025-09-25,Entertainment Expense,Disallowed 50%,28082.43,Add
CT-9817,2025-09-19,Depreciation - Accounting,Add Back,16650.64,Add
CT-9818,2025-09-09,Related Party Management Fee,Transfer Pricing Adj.,62405.33,Add
CT-9819,2025-09-23,Client Entertainment,Disallowed 50%,5519.48,Add
CT-9820,2025-09-05,Client Entertainment,Disallowed 50%,2540.16,Add
CT-9821,2025-09-19,Bad Debts Written Off (realized),Deduct,53338.2,Deduct
CT-9822,2025-09-07,Bad Debts Written Off (realized),Deduct,18819.43,Deduct
CT-9823,2025-09-19,Depreciation - Tax (per schedule),Deduct,20013.94,Deduct
CT-9824,2025-09-01,Fines & Penalties,Fully Disallowed,9129.68,Add
CT-9825,2025-10-17,Exempt Dividend Income,Exempt Income,54679.8,Add
CT-9826,2025-10-20,Exempt Dividend Income,Exempt Income,59839.87,Add
CT-9827,2025-10-20,Provision for Doubtful Debts (unrealized),Add Back,42151.16,Add
CT-9828,2025-10-05,Related Party Management Fee,Transfer Pricing Adj.,9056.02,Add
CT-9829,2025-10-12,Related Party Management Fee,Transfer Pricing Adj.,40483.87,Add
CT-9830,2025-10-11,Bad Debts Written Off (realized),Deduct,66080.19,Deduct
CT-9831,2025-10-26,Donations - Non Qualifying,Fully Disallowed,36656.51,Add
CT-9832,2025-10-03,Exempt Dividend Income,Exempt Income,60534.64,Add
CT-9833,2025-10-23,Client Entertainment,Disallowed 50%,7428.64,Add
CT-9834,2025-10-07,Bad Debts Written Off (realized),Deduct,3999.32,Deduct
CT-9835,2025-10-13,Depreciation - Accounting,Add Back,31960.7,Add
CT-9836,2025-10-28,Entertainment Expense,Disallowed 50%,44261.21,Add
CT-9837,2025-10-22,Provision for Doubtful Debts (unrealized),Add Back,20538.44,Add
CT-9838,2025-10-10,Fines & Penalties,Fully Disallowed,27059.16,Add
CT-9839,2025-10-10,Depreciation - Tax (per schedule),Deduct,61921.33,Deduct
CT-9840,2025-10-01,Provision for Doubtful Debts (unrealized),Add Back,67277.99,Add
CT-9841,2025-10-27,Fines & Penalties,Fully Disallowed,65440.62,Add
CT-9842,2025-10-09,Donations - Non Qualifying,Fully Disallowed,24221.89,Add
CT-9843,2025-10-23,Provision for Doubtful Debts (unrealized),Add Back,42928.4,Add
CT-9844,2025-10-08,Fines & Penalties,Fully Disallowed,11081.72,Add
CT-9845,2025-10-16,Interest Income - Related Party,Related Party Adj.,20418.64,Deduct
CT-9846,2025-10-08,Client Entertainment,Disallowed 50%,51424.82,Add
CT-9847,2025-10-09,Related Party Management Fee,Transfer Pricing Adj.,21124.41,Add
CT-9848,2025-10-02,Provision for Doubtful Debts (unrealized),Add Back,26971.16,Add
CT-9849,2025-10-27,Interest Income - Related Party,Related Party Adj.,63073.56,Deduct
CT-9850,2025-10-02,Depreciation - Accounting,Add Back,32906.91,Add
CT-9851,2025-10-14,UAE Government Grant Income,Exempt Income,45522.41,Add
CT-9852,2025-10-08,Entertainment Expense,Disallowed 50%,54441.07,Add
CT-9853,2025-10-03,Interest Income - Related Party,Related Party Adj.,36445.05,Deduct
CT-9854,2025-10-25,Entertainment Expense,Disallowed 50%,30859.54,Add
CT-9855,2025-10-07,Depreciation - Tax (per schedule),Deduct,8705.66,Deduct
CT-9856,2025-10-09,Depreciation - Tax (per schedule),Deduct,10375.2,Deduct
CT-9857,2025-10-03,Related Party Management Fee,Transfer Pricing Adj.,52209.24,Add
CT-9858,2025-10-06,UAE Government Grant Income,Exempt Income,13291.86,Add
CT-9859,2025-10-04,Fines & Penalties,Fully Disallowed,20855.83,Add
CT-9860,2025-10-03,Bad Debts Written Off (realized),Deduct,23973.93,Deduct
CT-9861,2025-10-20,Provision for Doubtful Debts (unrealized),Add Back,35720.59,Add
CT-9862,2025-10-22,Depreciation - Tax (per schedule),Deduct,30502.15,Deduct
CT-9863,2025-10-11,Client Entertainment,Disallowed 50%,36663.98,Add
CT-9864,2025-10-07,Depreciation - Accounting,Add Back,9602.79,Add
CT-9865,2025-10-13,Related Party Management Fee,Transfer Pricing Adj.,14604.41,Add
CT-9866,2025-10-01,Depreciation - Tax (per schedule),Deduct,50099.48,Deduct
CT-9867,2025-10-20,Fines & Penalties,Fully Disallowed,35939.59,Add
CT-9868,2025-10-14,Client Entertainment,Disallowed 50%,23361.16,Add
CT-9869,2025-10-11,UAE Government Grant Income,Exempt Income,51974.69,Add
CT-9870,2025-10-21,Exempt Dividend Income,Exempt Income,9252.09,Add
CT-9871,2025-10-12,Interest Income - Related Party,Related Party Adj.,8077.11,Deduct
CT-9872,2025-10-06,UAE Government Grant Income,Exempt Income,32984.02,Add
CT-9873,2025-10-11,Interest Income - Related Party,Related Party Adj.,5459.71,Deduct
CT-9874,2025-10-10,Fines & Penalties,Fully Disallowed,50558.68,Add
CT-9875,2025-10-03,Interest Income - Related Party,Related Party Adj.,13355.72,Deduct
CT-9876,2025-10-21,Interest Income - Related Party,Related Party Adj.,58875.33,Deduct
CT-9877,2025-10-10,Related Party Management Fee,Transfer Pricing Adj.,8325.83,Add
CT-9878,2025-10-20,Fines & Penalties,Fully Disallowed,39433.52,Add
CT-9879,2025-10-10,Depreciation - Accounting,Add Back,35001.18,Add
CT-9880,2025-10-25,Client Entertainment,Disallowed 50%,20402.21,Add
CT-9881,2025-10-17,Client Entertainment,Disallowed 50%,15890.54,Add
CT-9882,2025-10-13,Depreciation - Tax (per schedule),Deduct,47608.93,Deduct
CT-9883,2025-10-19,Interest Income - Related Party,Related Party Adj.,40141.88,Deduct
CT-9884,2025-10-06,Client Entertainment,Disallowed 50%,20419.9,Add
CT-9885,2025-10-01,Provision for Doubtful Debts (unrealized),Add Back,22876.25,Add
CT-9886,2025-10-27,Client Entertainment,Disallowed 50%,56618.43,Add
CT-9887,2025-10-15,UAE Government Grant Income,Exempt Income,3530.16,Add
CT-9888,2025-10-05,Depreciation - Accounting,Add Back,60686.96,Add
CT-9889,2025-10-17,Entertainment Expense,Disallowed 50%,42682.11,Add
CT-9890,2025-10-10,Related Party Management Fee,Transfer Pricing Adj.,21631.28,Add
CT-9891,2025-10-17,Provision for Doubtful Debts (unrealized),Add Back,42615.0,Add
CT-9892,2025-10-13,Exempt Dividend Income,Exempt Income,65363.69,Add
CT-9893,2025-10-10,Provision for Doubtful Debts (unrealized),Add Back,25705.14,Add
CT-9894,2025-10-18,Exempt Dividend Income,Exempt Income,6427.84,Add
CT-9895,2025-10-26,Fines & Penalties,Fully Disallowed,32312.85,Add
CT-9896,2025-10-22,Interest Income - Related Party,Related Party Adj.,9787.51,Deduct
CT-9897,2025-10-22,Provision for Doubtful Debts (unrealized),Add Back,31894.63,Add
CT-9898,2025-10-04,Depreciation - Tax (per schedule),Deduct,64636.68,Deduct
CT-9899,2025-10-09,Provision for Doubtful Debts (unrealized),Add Back,22259.38,Add
CT-9900,2025-10-04,UAE Government Grant Income,Exempt Income,44011.08,Add
CT-9901,2025-10-05,Depreciation - Tax (per schedule),Deduct,14227.35,Deduct
CT-9902,2025-10-21,UAE Government Grant Income,Exempt Income,9059.66,Add
CT-9903,2025-10-04,Entertainment Expense,Disallowed 50%,60846.62,Add
CT-9904,2025-10-11,Donations - Non Qualifying,Fully Disallowed,5598.82,Add
CT-9905,2025-10-12,Fines & Penalties,Fully Disallowed,15978.93,Add
CT-9906,2025-10-18,Provision for Doubtful Debts (unrealized),Add Back,56616.62,Add
CT-9907,2025-10-08,Fines & Penalties,Fully Disallowed,60499.56,Add
CT-9908,2025-10-09,Depreciation - Accounting,Add Back,13671.55,Add
CT-9909,2025-10-24,UAE Government Grant Income,Exempt Income,66194.26,Add
CT-9910,2025-11-24,Fines & Penalties,Fully Disallowed,60113.63,Add
CT-9911,2025-11-13,Depreciation - Accounting,Add Back,27736.65,Add
CT-9912,2025-11-21,Bad Debts Written Off (realized),Deduct,56936.45,Deduct
CT-9913,2025-11-06,Donations - Non Qualifying,Fully Disallowed,67938.29,Add
CT-9914,2025-11-11,Entertainment Expense,Disallowed 50%,67666.9,Add
CT-9915,2025-11-25,Donations - Non Qualifying,Fully Disallowed,63830.03,Add
CT-9916,2025-11-18,Depreciation - Accounting,Add Back,12068.58,Add
CT-9917,2025-11-02,Provision for Doubtful Debts (unrealized),Add Back,30827.26,Add
CT-9918,2025-11-01,Bad Debts Written Off (realized),Deduct,33026.78,Deduct
CT-9919,2025-11-20,Depreciation - Accounting,Add Back,52888.4,Add
CT-9920,2025-11-21,UAE Government Grant Income,Exempt Income,14660.55,Add
CT-9921,2025-11-25,Related Party Management Fee,Transfer Pricing Adj.,45435.02,Add
CT-9922,2025-11-23,Exempt Dividend Income,Exempt Income,34317.3,Add
CT-9923,2025-11-16,Provision for Doubtful Debts (unrealized),Add Back,48603.83,Add
CT-9924,2025-11-18,Depreciation - Accounting,Add Back,4945.3,Add
CT-9925,2025-11-28,UAE Government Grant Income,Exempt Income,59788.1,Add
CT-9926,2025-11-05,Bad Debts Written Off (realized),Deduct,33871.86,Deduct
CT-9927,2025-11-21,Client Entertainment,Disallowed 50%,4141.19,Add
CT-9928,2025-11-10,Depreciation - Tax (per schedule),Deduct,13368.8,Deduct
CT-9929,2025-11-08,UAE Government Grant Income,Exempt Income,4941.98,Add
CT-9930,2025-11-26,Donations - Non Qualifying,Fully Disallowed,47980.71,Add
CT-9931,2025-11-01,Depreciation - Tax (per schedule),Deduct,58322.49,Deduct
CT-9932,2025-11-26,UAE Government Grant Income,Exempt Income,46268.75,Add
CT-9933,2025-11-16,Interest Income - Related Party,Related Party Adj.,49026.53,Deduct
CT-9934,2025-11-15,Fines & Penalties,Fully Disallowed,20363.21,Add
CT-9935,2025-11-06,Fines & Penalties,Fully Disallowed,24420.24,Add
CT-9936,2025-11-03,Provision for Doubtful Debts (unrealized),Add Back,24532.62,Add
CT-9937,2025-11-22,Provision for Doubtful Debts (unrealized),Add Back,51038.6,Add
CT-9938,2025-11-07,Exempt Dividend Income,Exempt Income,40908.61,Add
CT-9939,2025-11-28,Interest Income - Related Party,Related Party Adj.,13329.14,Deduct
CT-9940,2025-11-25,Provision for Doubtful Debts (unrealized),Add Back,51538.31,Add
CT-9941,2025-11-19,UAE Government Grant Income,Exempt Income,48935.08,Add
CT-9942,2025-11-06,Exempt Dividend Income,Exempt Income,22717.66,Add
CT-9943,2025-11-04,Donations - Non Qualifying,Fully Disallowed,38444.15,Add
CT-9944,2025-11-17,Exempt Dividend Income,Exempt Income,12755.76,Add
CT-9945,2025-11-13,Interest Income - Related Party,Related Party Adj.,14183.17,Deduct
CT-9946,2025-11-22,Related Party Management Fee,Transfer Pricing Adj.,14248.31,Add
CT-9947,2025-11-27,Related Party Management Fee,Transfer Pricing Adj.,12566.4,Add
CT-9948,2025-11-14,Bad Debts Written Off (realized),Deduct,38027.16,Deduct
CT-9949,2025-11-24,Exempt Dividend Income,Exempt Income,2919.23,Add
CT-9950,2025-11-21,Entertainment Expense,Disallowed 50%,19734.11,Add
CT-9951,2025-11-15,Donations - Non Qualifying,Fully Disallowed,24926.74,Add
CT-9952,2025-11-17,Related Party Management Fee,Transfer Pricing Adj.,16860.5,Add
CT-9953,2025-11-19,Interest Income - Related Party,Related Party Adj.,41538.66,Deduct
CT-9954,2025-11-03,Donations - Non Qualifying,Fully Disallowed,6206.64,Add
CT-9955,2025-11-19,UAE Government Grant Income,Exempt Income,29854.37,Add
CT-9956,2025-11-03,Interest Income - Related Party,Related Party Adj.,13941.24,Deduct
CT-9957,2025-11-08,Related Party Management Fee,Transfer Pricing Adj.,14212.75,Add
CT-9958,2025-11-24,Depreciation - Accounting,Add Back,48522.74,Add
CT-9959,2025-11-27,Entertainment Expense,Disallowed 50%,24521.03,Add
CT-9960,2025-11-21,Bad Debts Written Off (realized),Deduct,66896.47,Deduct
CT-9961,2025-11-12,Entertainment Expense,Disallowed 50%,34458.61,Add
CT-9962,2025-11-18,Entertainment Expense,Disallowed 50%,49593.75,Add
CT-9963,2025-11-22,Depreciation - Accounting,Add Back,39161.77,Add
CT-9964,2025-11-26,Interest Income - Related Party,Related Party Adj.,42026.54,Deduct
CT-9965,2025-11-12,Provision for Doubtful Debts (unrealized),Add Back,14655.01,Add
CT-9966,2025-11-14,Bad Debts Written Off (realized),Deduct,26629.34,Deduct
CT-9967,2025-11-05,UAE Government Grant Income,Exempt Income,65219.75,Add
CT-9968,2025-11-01,Client Entertainment,Disallowed 50%,17305.73,Add
CT-9969,2025-11-12,Depreciation - Tax (per schedule),Deduct,62144.86,Deduct
CT-9970,2025-11-27,Client Entertainment,Disallowed 50%,42124.01,Add
CT-9971,2025-11-24,Depreciation - Accounting,Add Back,38237.59,Add
CT-9972,2025-11-06,Depreciation - Tax (per schedule),Deduct,19980.61,Deduct
CT-9973,2025-11-19,Fines & Penalties,Fully Disallowed,61364.94,Add
CT-9974,2025-11-07,Depreciation - Tax (per schedule),Deduct,23887.02,Deduct
CT-9975,2025-11-24,Donations - Non Qualifying,Fully Disallowed,48580.81,Add
CT-9976,2025-11-12,Depreciation - Tax (per schedule),Deduct,42220.19,Deduct
CT-9977,2025-11-14,Depreciation - Accounting,Add Back,7901.78,Add
CT-9978,2025-11-12,Donations - Non Qualifying,Fully Disallowed,45353.24,Add
CT-9979,2025-11-23,Client Entertainment,Disallowed 50%,62727.81,Add
CT-9980,2025-11-14,Client Entertainment,Disallowed 50%,3222.99,Add
CT-9981,2025-11-04,Bad Debts Written Off (realized),Deduct,22023.39,Deduct
CT-9982,2025-11-28,Related Party Management Fee,Transfer Pricing Adj.,16821.1,Add
CT-9983,2025-11-25,Provision for Doubtful Debts (unrealized),Add Back,16753.66,Add
CT-9984,2025-11-01,Depreciation - Tax (per schedule),Deduct,50319.95,Deduct
CT-9985,2025-11-09,Depreciation - Tax (per schedule),Deduct,50309.32,Deduct
CT-9986,2025-11-16,Client Entertainment,Disallowed 50%,34167.21,Add
CT-9987,2025-11-09,Fines & Penalties,Fully Disallowed,10854.34,Add
CT-9988,2025-11-23,Fines & Penalties,Fully Disallowed,29417.31,Add
CT-9989,2025-11-26,Bad Debts Written Off (realized),Deduct,57577.99,Deduct
CT-9990,2025-11-02,Bad Debts Written Off (realized),Deduct,59246.95,Deduct
CT-9991,2025-11-27,UAE Government Grant Income,Exempt Income,14715.02,Add
CT-9992,2025-11-21,Related Party Management Fee,Transfer Pricing Adj.,12970.53,Add
CT-9993,2025-11-17,Exempt Dividend Income,Exempt Income,8950.45,Add
CT-9994,2025-11-26,Client Entertainment,Disallowed 50%,30849.66,Add
CT-9995,2025-11-21,Exempt Dividend Income,Exempt Income,55764.51,Add
CT-9996,2025-12-12,Interest Income - Related Party,Related Party Adj.,51382.76,Deduct
CT-9997,2025-12-24,Depreciation - Accounting,Add Back,46370.58,Add
CT-9998,2025-12-11,Related Party Management Fee,Transfer Pricing Adj.,58132.01,Add
CT-9999,2025-12-04,Fines & Penalties,Fully Disallowed,64955.48,Add
CT-10000,2025-12-15,Client Entertainment,Disallowed 50%,61560.0,Add
CT-10001,2025-12-19,UAE Government Grant Income,Exempt Income,22592.06,Add
CT-10002,2025-12-28,Provision for Doubtful Debts (unrealized),Add Back,17737.19,Add
CT-10003,2025-12-07,Bad Debts Written Off (realized),Deduct,60761.33,Deduct
CT-10004,2025-12-20,Client Entertainment,Disallowed 50%,7330.69,Add
CT-10005,2025-12-04,Donations - Non Qualifying,Fully Disallowed,17367.27,Add
CT-10006,2025-12-17,Entertainment Expense,Disallowed 50%,67754.72,Add
CT-10007,2025-12-08,Provision for Doubtful Debts (unrealized),Add Back,12271.27,Add
CT-10008,2025-12-24,Entertainment Expense,Disallowed 50%,55791.35,Add
CT-10009,2025-12-19,Depreciation - Tax (per schedule),Deduct,53467.73,Deduct
CT-10010,2025-12-01,Depreciation - Accounting,Add Back,46276.59,Add
CT-10011,2025-12-18,Entertainment Expense,Disallowed 50%,17119.28,Add
CT-10012,2025-12-01,Client Entertainment,Disallowed 50%,35377.18,Add
CT-10013,2025-12-10,Donations - Non Qualifying,Fully Disallowed,48381.45,Add
CT-10014,2025-12-23,Exempt Dividend Income,Exempt Income,64797.03,Add
CT-10015,2025-12-02,Client Entertainment,Disallowed 50%,46554.43,Add
CT-10016,2025-12-05,Fines & Penalties,Fully Disallowed,6003.53,Add
CT-10017,2025-12-09,Depreciation - Accounting,Add Back,6540.88,Add
CT-10018,2025-12-15,Entertainment Expense,Disallowed 50%,37674.23,Add
CT-10019,2025-12-09,Entertainment Expense,Disallowed 50%,10458.61,Add
CT-10020,2025-12-21,Provision for Doubtful Debts (unrealized),Add Back,5668.3,Add
CT-10021,2025-12-15,Exempt Dividend Income,Exempt Income,32793.71,Add
CT-10022,2025-12-07,Related Party Management Fee,Transfer Pricing Adj.,54203.95,Add
